year,breeding_season,nind,nwtsperind,avgMass,sdMass,SEM
1998,1998/1999,103,147.407767,672.9555539,81.4588967,8.026383588
1999,1999/2000,132,127.0909091,711.8023175,71.0458361,6.183746307
2000,2000/2001,183,180.3715847,698.7263539,61.01849708,4.510617096
2001,2001/2002,245,141.4408163,699.2079826,71.82142637,4.588502617
2002,2002/2003,261,155.8467433,683.4704232,88.893824,5.50238957
2003,2003/2004,255,154.7333333,675.3351478,74.8898515,4.689784416
2004,2004/2005,185,145.2324324,700.3170932,84.61886118,6.221302404
2005,2005/2006,234,124.2393162,681.0043634,89.78546592,5.869459522
2006,2006/2007,259,175.2664093,636.196761,90.77195109,5.640294601
2007,2007/2008,212,155.009434,626.192024,89.81509225,6.168525861
2008,2008/2009,151,153.4172185,686.9536398,79.2360761,6.448140425
2009,2009/2010,213,151.7652582,671.3036893,75.48270999,5.171990067
2010,2010/2011,266,165.8909774,674.5057438,79.87154033,4.897238348
2011,2011/2012,302,197.8278146,662.4437314,81.76630446,4.705122102
2012,2012/2013,307,192.2899023,643.9383596,84.6251116,4.829810226
2013,2013/2014,195,143.7333333,682.6783053,81.1899562,5.814133526
2014,2014/2015,184,140.1413043,668.344902,79.9843728,5.896526193
2015,2015/2016,205,141.0292683,636.7924189,81.78803973,5.712324478
2016,2016/2017,107,122.8130841,677.0764208,102.4123948,9.900579901
2017,2017/2018,137,134.6131387,641.8323712,79.80831476,6.818484486
2018,2018/2019,131,158.5343511,646.8908292,76.82452359,6.712189791
2019,2019/2020,133,134.7293233,635.3821205,84.07529608,7.290252742
2020,2020/2021,167,80.78443114,650.3914071,86.20012305,6.670365786
2021,2021/2022,195,89.98461538,643.5155963,78.52337241,5.623175494
2022,2022/2023,215,78.4744186,662.8026143,88.13722057,6.010908553
