year,month,month_start,rain_noaa,rain_gpcp,rain_onsite
1979,1,01/01/1979,54.71,NA,NA
1979,2,01/02/1979,9.37,NA,NA
1979,3,01/03/1979,7.57,NA,NA
1979,4,01/04/1979,28.79,NA,NA
1979,5,01/05/1979,1.69,NA,NA
1979,6,01/06/1979,0.28,NA,NA
1979,7,01/07/1979,0.10,NA,NA
1979,8,01/08/1979,3.13,NA,NA
1979,9,01/09/1979,1.73,NA,NA
1979,10,01/10/1979,14.74,NA,NA
1979,11,01/11/1979,19.85,NA,NA
1979,12,01/12/1979,1.47,NA,NA
1980,1,01/01/1980,6.64,NA,NA
1980,2,01/02/1980,23.64,NA,NA
1980,3,01/03/1980,38.45,NA,NA
1980,4,01/04/1980,7.24,NA,NA
1980,5,01/05/1980,0.05,NA,NA
1980,6,01/06/1980,9.36,NA,NA
1980,7,01/07/1980,0.00,NA,NA
1980,8,01/08/1980,5.19,NA,NA
1980,9,01/09/1980,8.89,NA,NA
1980,10,01/10/1980,0.35,NA,NA
1980,11,01/11/1980,29.91,NA,NA
1980,12,01/12/1980,22.54,NA,NA
1981,1,01/01/1981,15.11,NA,NA
1981,2,01/02/1981,103.83,NA,NA
1981,3,01/03/1981,39.04,NA,NA
1981,4,01/04/1981,1.16,NA,NA
1981,5,01/05/1981,0.74,NA,NA
1981,6,01/06/1981,4.05,NA,NA
1981,7,01/07/1981,1.29,NA,NA
1981,8,01/08/1981,29.23,NA,NA
1981,9,01/09/1981,0.00,NA,NA
1981,10,01/10/1981,21.73,NA,NA
1981,11,01/11/1981,17.64,NA,NA
1981,12,01/12/1981,14.59,NA,NA
1982,1,01/01/1982,15.58,NA,NA
1982,2,01/02/1982,37.68,NA,NA
1982,3,01/03/1982,2.86,NA,NA
1982,4,01/04/1982,25.78,NA,NA
1982,5,01/05/1982,2.13,NA,NA
1982,6,01/06/1982,0.89,NA,NA
1982,7,01/07/1982,10.69,NA,NA
1982,8,01/08/1982,0.00,NA,NA
1982,9,01/09/1982,25.42,NA,NA
1982,10,01/10/1982,69.21,NA,NA
1982,11,01/11/1982,2.82,NA,NA
1982,12,01/12/1982,10.26,NA,NA
1983,1,01/01/1983,62.71,55.91,NA
1983,2,01/02/1983,6.18,1.44,NA
1983,3,01/03/1983,26.46,34.40,NA
1983,4,01/04/1983,17.50,12.10,NA
1983,5,01/05/1983,9.50,17.39,NA
1983,6,01/06/1983,4.72,6.60,NA
1983,7,01/07/1983,0.00,0.13,NA
1983,8,01/08/1983,0.05,0.25,NA
1983,9,01/09/1983,0.22,0.83,NA
1983,10,01/10/1983,0.52,13.62,NA
1983,11,01/11/1983,39.42,46.90,NA
1983,12,01/12/1983,54.78,72.57,NA
1984,1,01/01/1984,0.36,14.78,NA
1984,2,01/02/1984,2.77,9.09,NA
1984,3,01/03/1984,22.18,36.51,NA
1984,4,01/04/1984,37.99,60.57,NA
1984,5,01/05/1984,28.76,18.28,NA
1984,6,01/06/1984,0.28,0.16,NA
1984,7,01/07/1984,0.00,0.12,NA
1984,8,01/08/1984,0.00,0.22,NA
1984,9,01/09/1984,0.00,0.01,NA
1984,10,01/10/1984,9.67,23.29,NA
1984,11,01/11/1984,3.91,21.35,NA
1984,12,01/12/1984,1.88,2.17,NA
1985,1,01/01/1985,46.77,51.58,NA
1985,2,01/02/1985,20.88,36.71,NA
1985,3,01/03/1985,5.79,16.87,NA
1985,4,01/04/1985,0.62,4.19,NA
1985,5,01/05/1985,0.60,1.97,NA
1985,6,01/06/1985,0.00,0.37,NA
1985,7,01/07/1985,0.00,0.05,NA
1985,8,01/08/1985,0.00,0.28,NA
1985,9,01/09/1985,0.42,0.47,NA
1985,10,01/10/1985,7.88,15.25,NA
1985,11,01/11/1985,5.83,7.54,NA
1985,12,01/12/1985,19.37,30.76,NA
1986,1,01/01/1986,90.86,24.83,NA
1986,2,01/02/1986,52.97,46.78,NA
1986,3,01/03/1986,4.95,9.65,NA
1986,4,01/04/1986,49.01,40.57,NA
1986,5,01/05/1986,0.00,0.41,NA
1986,6,01/06/1986,84.11,11.35,NA
1986,7,01/07/1986,0.91,1.10,NA
1986,8,01/08/1986,0.88,0.11,NA
1986,9,01/09/1986,11.97,11.60,NA
1986,10,01/10/1986,30.55,32.63,NA
1986,11,01/11/1986,67.94,66.51,NA
1986,12,01/12/1986,25.81,5.46,NA
1987,1,01/01/1987,8.24,3.29,NA
1987,2,01/02/1987,140.37,49.55,NA
1987,3,01/03/1987,17.17,19.64,NA
1987,4,01/04/1987,12.21,17.43,NA
1987,5,01/05/1987,2.54,0.48,NA
1987,6,01/06/1987,0.00,0.21,NA
1987,7,01/07/1987,2.37,2.01,NA
1987,8,01/08/1987,0.00,0.05,NA
1987,9,01/09/1987,14.04,27.80,NA
1987,10,01/10/1987,11.34,9.17,NA
1987,11,01/11/1987,74.06,55.71,NA
1987,12,01/12/1987,5.06,25.31,NA
1988,1,01/01/1988,15.19,33.64,NA
1988,2,01/02/1988,75.15,89.21,NA
1988,3,01/03/1988,69.62,88.22,NA
1988,4,01/04/1988,74.72,63.35,NA
1988,5,01/05/1988,0.73,2.89,NA
1988,6,01/06/1988,0.00,0.22,NA
1988,7,01/07/1988,0.00,0.01,NA
1988,8,01/08/1988,0.14,0.43,NA
1988,9,01/09/1988,10.84,9.38,NA
1988,10,01/10/1988,12.54,14.54,NA
1988,11,01/11/1988,37.93,20.23,NA
1988,12,01/12/1988,55.55,55.59,NA
1989,1,01/01/1989,64.04,65.18,NA
1989,2,01/02/1989,85.74,98.08,NA
1989,3,01/03/1989,19.92,29.32,NA
1989,4,01/04/1989,122.00,48.77,NA
1989,5,01/05/1989,3.37,6.90,NA
1989,6,01/06/1989,0.05,0.08,NA
1989,7,01/07/1989,0.00,0.11,NA
1989,8,01/08/1989,0.00,0.06,NA
1989,9,01/09/1989,0.57,1.03,NA
1989,10,01/10/1989,0.02,0.36,NA
1989,11,01/11/1989,2.18,3.14,NA
1989,12,01/12/1989,9.45,6.46,NA
1990,1,01/01/1990,41.29,24.19,NA
1990,2,01/02/1990,19.19,20.26,NA
1990,3,01/03/1990,57.47,23.96,NA
1990,4,01/04/1990,52.98,41.02,NA
1990,5,01/05/1990,0.04,0.47,NA
1990,6,01/06/1990,4.04,2.00,NA
1990,7,01/07/1990,0.00,0.08,NA
1990,8,01/08/1990,0.00,0.03,NA
1990,9,01/09/1990,0.27,0.19,NA
1990,10,01/10/1990,5.99,4.48,NA
1990,11,01/11/1990,3.32,5.45,NA
1990,12,01/12/1990,42.74,43.90,NA
1991,1,01/01/1991,68.21,101.81,NA
1991,2,01/02/1991,17.92,29.01,NA
1991,3,01/03/1991,54.66,71.21,NA
1991,4,01/04/1991,0.14,1.01,NA
1991,5,01/05/1991,0.00,0.38,NA
1991,6,01/06/1991,2.67,2.88,NA
1991,7,01/07/1991,0.00,0.21,NA
1991,8,01/08/1991,0.00,0.03,NA
1991,9,01/09/1991,3.18,4.62,NA
1991,10,01/10/1991,11.97,14.65,NA
1991,11,01/11/1991,17.35,12.78,NA
1991,12,01/12/1991,82.74,68.65,NA
1992,1,01/01/1992,2.47,3.10,NA
1992,2,01/02/1992,7.67,6.78,NA
1992,3,01/03/1992,20.23,35.71,NA
1992,4,01/04/1992,0.39,4.30,NA
1992,5,01/05/1992,0.00,0.37,NA
1992,6,01/06/1992,0.00,0.14,NA
1992,7,01/07/1992,0.03,0.12,NA
1992,8,01/08/1992,0.00,0.04,NA
1992,9,01/09/1992,0.00,0.40,NA
1992,10,01/10/1992,4.04,4.14,NA
1992,11,01/11/1992,2.28,2.42,NA
1992,12,01/12/1992,0.88,2.33,NA
1993,1,01/01/1993,12.92,6.29,NA
1993,2,01/02/1993,56.85,54.10,NA
1993,3,01/03/1993,20.78,14.73,NA
1993,4,01/04/1993,14.79,16.15,NA
1993,5,01/05/1993,4.06,3.12,NA
1993,6,01/06/1993,0.00,0.90,NA
1993,7,01/07/1993,2.84,0.63,NA
1993,8,01/08/1993,3.88,0.77,NA
1993,9,01/09/1993,0.00,0.00,NA
1993,10,01/10/1993,34.83,53.52,NA
1993,11,01/11/1993,17.62,25.54,NA
1993,12,01/12/1993,11.26,50.98,NA
1994,1,01/01/1994,53.77,32.09,NA
1994,2,01/02/1994,71.29,68.85,NA
1994,3,01/03/1994,32.68,44.07,NA
1994,4,01/04/1994,0.08,0.88,NA
1994,5,01/05/1994,0.00,0.34,NA
1994,6,01/06/1994,0.31,0.65,NA
1994,7,01/07/1994,0.42,0.01,NA
1994,8,01/08/1994,0.00,0.04,NA
1994,9,01/09/1994,5.01,2.21,NA
1994,10,01/10/1994,0.92,2.08,NA
1994,11,01/11/1994,5.26,13.72,NA
1994,12,01/12/1994,18.59,6.30,NA
1995,1,01/01/1995,11.99,7.60,NA
1995,2,01/02/1995,0.18,0.40,NA
1995,3,01/03/1995,69.38,84.18,NA
1995,4,01/04/1995,1.52,1.59,NA
1995,5,01/05/1995,3.43,6.29,NA
1995,6,01/06/1995,0.16,0.26,NA
1995,7,01/07/1995,0.81,0.10,NA
1995,8,01/08/1995,0.03,0.01,NA
1995,9,01/09/1995,0.87,3.50,NA
1995,10,01/10/1995,0.21,6.71,NA
1995,11,01/11/1995,61.68,63.10,NA
1995,12,01/12/1995,25.95,61.78,NA
1996,1,01/01/1996,13.67,45.77,NA
1996,2,01/02/1996,52.29,40.68,NA
