date,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12
01/01/1950,-0.6368,,,,,,,,,,,
01/02/1950,-0.16997,-0.51443,,,,,,,,,,
01/03/1950,0.90782,0.49965,0.02884,,,,,,,,,
01/04/1950,1.77325,1.55049,1.16206,0.63872,,,,,,,,
01/05/1950,1.85743,2.0564,1.79686,1.43409,0.89704,,,,,,,
01/06/1950,0.74932,1.78643,2.06059,1.81449,1.44267,0.91082,,,,,,
01/07/1950,-0.56218,0.27031,1.68289,2.02038,1.79581,1.42051,0.88684,,,,,
01/08/1950,-0.51729,-0.73076,-0.14986,1.50819,1.96894,1.76391,1.38001,0.85921,,,,
01/09/1950,-0.15676,-0.34516,-0.47138,-0.28462,1.3371,1.96287,1.73742,1.33326,0.8324,,,
01/10/1950,-0.14185,-0.27861,-0.38668,-0.47743,-0.33812,0.90006,1.81,1.67325,1.26802,0.79577,,
01/11/1950,-0.37394,-0.41593,-0.40939,-0.48767,-0.52696,-0.44804,0.40265,1.47347,1.4587,1.13089,0.69846,
01/12/1950,0.7915,0.4059,0.28967,0.2188,0.12763,0.07467,0.09642,0.69051,1.52279,1.52813,1.24192,0.82044
01/01/1951,0.19399,0.49571,0.32275,0.27707,0.20726,0.14983,0.11721,0.14431,0.56473,1.13485,1.23103,1.05368
01/02/1951,-0.59865,-0.22377,0.16642,0.0363,0.00333,-0.0402,-0.08981,-0.12044,-0.09056,0.27619,0.80941,0.95301
01/03/1951,0.19062,-0.30019,-0.13617,0.17247,0.06565,0.03842,0.00078,-0.03878,-0.06706,-0.045,0.27572,0.73343
01/04/1951,-0.33864,-0.1426,-0.47437,-0.2887,0.02841,-0.05759,-0.08343,-0.11133,-0.1459,-0.17069,-0.14897,0.16249
01/05/1951,0.63837,-0.09217,-0.02655,-0.36257,-0.2275,0.06744,-0.0119,-0.03785,-0.06574,-0.09889,-0.12294,-0.10146
01/06/1951,-0.50406,0.36925,-0.21106,-0.10291,-0.4162,-0.26778,0.02724,-0.05295,-0.08048,-0.1071,-0.14018,-0.16413
01/07/1951,0.224,-0.26146,0.38692,-0.18984,-0.09849,-0.41029,-0.26314,0.02934,-0.05051,-0.07811,-0.10453,-0.13744
01/08/1951,-0.7675,-0.46714,-0.67592,0.00981,-0.34973,-0.19433,-0.48005,-0.31369,-0.01654,-0.09673,-0.12387,-0.14923
01/09/1951,0.04853,-0.26185,-0.18461,-0.45741,-0.16895,-0.37835,-0.21057,-0.46752,-0.30649,-0.00378,-0.08511,-0.11225
01/10/1951,0.59299,0.42044,0.1913,0.2003,-0.00605,0.14097,-0.14892,-0.10291,-0.32723,-0.21733,0.05066,-0.02665
01/11/1951,-1.05384,-0.50747,-0.4152,-0.53181,-0.47654,-0.59778,-0.48652,-0.60829,-0.43377,-0.61149,-0.4352,-0.1405
01/12/1951,-1.74539,-1.81637,-1.39011,-1.30239,-1.32126,-1.27055,-1.29534,-1.17799,-1.25465,-1.00945,-1.16271,-0.90595
01/01/1952,-1.388,-1.93057,-2.11667,-1.8337,-1.66621,-1.67648,-1.65326,-1.67997,-1.63591,-1.66955,-1.39874,-1.51485
01/02/1952,0.32345,-0.59611,-1.22915,-1.49234,-1.2996,-1.21539,-1.25826,-1.24122,-1.27991,-1.22423,-1.29937,-1.13799
01/03/1952,-1.34748,-0.59038,-1.07182,-1.54138,-1.7354,-1.60839,-1.51337,-1.54235,-1.52178,-1.55439,-1.53019,-1.54119
01/04/1952,-1.06353,-1.46554,-0.97477,-1.27603,-1.66553,-1.86019,-1.76999,-1.66739,-1.69265,-1.67568,-1.71384,-1.71962
01/05/1952,-0.55635,-1.13916,-1.48118,-1.06298,-1.32379,-1.68042,-1.87668,-1.7895,-1.70178,-1.72767,-1.71275,-1.75572
01/06/1952,-1.92462,-1.38673,-1.46202,-1.6272,-1.18764,-1.40601,-1.74749,-1.92848,-1.84381,-1.75767,-1.78086,-1.76524
01/07/1952,0.99927,-0.4655,-0.83079,-1.29223,-1.53954,-1.11518,-1.34806,-1.68321,-1.85503,-1.77117,-1.69122,-1.71504
01/08/1952,-0.62305,0.11644,-0.74775,-1.03123,-1.46769,-1.60921,-1.17172,-1.39825,-1.72558,-1.88429,-1.80901,-1.72471
01/09/1952,0.17368,-0.10279,0.18914,-0.41277,-0.81926,-1.35041,-1.54318,-1.11983,-1.36683,-1.71823,-1.86394,-1.78682
01/10/1952,-1.01269,-0.71155,-0.80817,-0.57265,-0.89955,-1.14485,-1.50342,-1.64,-1.30924,-1.51971,-1.83921,-1.98905
01/11/1952,0.4174,-0.26841,-0.1447,-0.25794,-0.11011,-0.39687,-0.64557,-1.06633,-1.39011,-1.08931,-1.35149,-1.66006
01/12/1952,-0.41701,-0.12583,-0.47195,-0.41353,-0.48367,-0.38463,-0.57935,-0.74231,-1.12346,-1.42975,-1.21166,-1.4522
01/01/1953,-1.7908,-1.41885,-1.08903,-1.29317,-1.17966,-1.20355,-1.12703,-1.25081,-1.41175,-1.68857,-1.91703,-1.66669
01/02/1953,-0.06083,-1.09878,-1.09532,-0.87972,-1.07807,-0.99553,-1.03556,-0.97222,-1.08357,-1.21532,-1.49284,-1.84179
01/03/1953,-0.31554,-0.26786,-1.00622,-1.01269,-0.85511,-1.03634,-0.97374,-1.00758,-0.95448,-1.05452,-1.17765,-1.39543
01/04/1953,1.5065,0.72513,0.50048,-0.27206,-0.3309,-0.24645,-0.39658,-0.37451,-0.41268,-0.37293,-0.46678,-0.55971
01/05/1953,-0.79979,1.12287,0.49584,0.33855,-0.39101,-0.43886,-0.34897,-0.4978,-0.47276,-0.50878,-0.46901,-0.56252
01/06/1953,-0.22459,-0.9146,1.05886,0.44299,0.29803,-0.41554,-0.46225,-0.37462,-0.52281,-0.49809,-0.53371,-0.49461
01/07/1953,-0.09834,-0.26677,-0.91159,1.03494,0.42426,0.28201,-0.42409,-0.46897,-0.38084,-0.52759,-0.50286,-0.53814
01/08/1953,1.04156,0.75019,0.36341,-0.32473,1.16152,0.52026,0.36389,-0.35338,-0.40694,-0.32262,-0.46754,-0.44556
01/09/1953,-0.7682,-0.1311,-0.15216,-0.3551,-0.8763,0.93675,0.34293,0.23445,-0.44734,-0.48609,-0.39586,-0.54262
01/10/1953,-1.44025,-1.52511,-1.11059,-1.07167,-1.08937,-1.36419,0.30763,-0.07039,-0.05185,-0.67604,-0.70842,-0.60675
01/11/1953,-0.57431,-1.18509,-1.37761,-1.08706,-1.04956,-1.07216,-1.25849,-0.02413,-0.25653,-0.2247,-0.77394,-0.79144
